Lunation,New Moon,First Quarter,Full Moon,Third Quarter,Duration
1,2025-01-29,2025-02-05,2025-02-12,2025-02-20,29d 12h 09m
2,2025-02-27,2025-03-06,2025-03-14,2025-03-22,29d 10h 13m
3,2025-03-29,2025-04-04,2025-04-12,2025-04-20,29d 8h 33m
4,2025-04-27,2025-05-04,2025-05-12,2025-05-20,29d 7h 31m
5,2025-05-26,2025-06-02,2025-06-11,2025-06-18,29d 7h 29m
6,2025-06-25,2025-07-02,2025-07-10,2025-07-17,29d 8h 40m
7,2025-07-24,2025-08-01,2025-08-09,2025-08-16,29d 10h 55m
8,2025-08-23,2025-08-31,2025-09-07,2025-09-14,29d 13h 48m
9,2025-09-21,2025-09-29,2025-10-06,2025-10-13,29d 16h 31m
10,2025-10-21,2025-10-29,2025-11-05,2025-11-12,29d 18h 22m
11,2025-11-20,2025-11-28,2025-12-04,2025-12-11,29d 18h 56m
12,2025-12-19,2025-12-27,2026-01-03,2026-01-10,29d 18h 09m
13,2026-01-18,2026-01-25,2026-02-01,2026-02-09,29d 16h 09m
14,2026-02-17,2026-02-24,2026-03-03,2026-03-11,29d 13h 22m
15,2026-03-18,2026-03-25,2026-04-01,2026-04-10,29d 10h 28m
16,2026-04-17,2026-04-23,2026-05-01,2026-05-09,29d 8h 09m
17,2026-05-16,2026-05-23,2026-05-31,2026-06-08,29d 6h 53m
18,2026-06-14,2026-06-21,2026-06-29,2026-07-07,29d 6h 50m
19,2026-07-14,2026-07-21,2026-07-29,2026-08-05,29d 7h 53m
20,2026-08-12,2026-08-19,2026-08-28,2026-09-04,29d 9h 50m
21,2026-09-10,2026-09-18,2026-09-26,2026-10-03,29d 12h 23m
22,2026-10-10,2026-10-18,2026-10-26,2026-11-01,29d 15h 12m
23,2026-11-09,2026-11-17,2026-11-24,2026-12-01,29d 17h 50m
24,2026-12-08,2026-12-17,2026-12-23,2026-12-30,29d 19h 33m
25,2027-01-07,2027-01-15,2027-01-22,2027-01-29,29d 19h 32m
26,2027-02-06,2027-02-14,2027-02-20,2027-02-28,29d 17h 33m
27,2027-03-08,2027-03-15,2027-03-22,2027-03-29,29d 14h 22m
28,2027-04-06,2027-04-13,2027-04-20,2027-04-28,29d 11h 08m
29,2027-05-06,2027-05-13,2027-05-20,2027-05-28,29d 8h 42m
30,2027-06-04,2027-06-11,2027-06-18,2027-06-27,29d 7h 22m
31,2027-07-03,2027-07-10,2027-07-18,2027-07-26,29d 7h 03m
32,2027-08-02,2027-08-09,2027-08-17,2027-08-24,29d 7h 36m
33,2027-08-31,2027-09-07,2027-09-15,2027-09-23,29d 8h 55m
34,2027-09-29,2027-10-07,2027-10-15,2027-10-22,29d 11h 01m
35,2027-10-29,2027-11-06,2027-11-13,2027-11-20,29d 13h 48m
36,2027-11-27,2027-12-06,2027-12-13,2027-12-20,29d 16h 48m
37,2027-12-27,2028-01-04,2028-01-11,2028-01-18,29d 19h 00m
38,2028-01-26,2028-02-03,2028-02-10,2028-02-17,29d 19h 25m
39,2028-02-25,2028-03-04,2028-03-10,2028-03-17,29d 17h 54m
40,2028-03-26,2028-04-02,2028-04-09,2028-04-16,29d 15h 16m
41,2028-04-24,2028-05-01,2028-05-08,2028-05-16,29d 12h 29m
42,2028-05-24,2028-05-31,2028-06-07,2028-06-15,29d 10h 11m
43,2028-06-22,2028-06-29,2028-07-06,2028-07-14,29d 8h 34m
44,2028-07-21,2028-07-28,2028-08-05,2028-08-13,29d 7h 42m
45,2028-08-20,2028-08-26,2028-09-03,2028-09-11,29d 7h 40m
46,2028-09-18,2028-09-25,2028-10-03,2028-10-11,29d 8h 33m
47,2028-10-17,2028-10-25,2028-11-02,2028-11-09,29d 10h 21m
48,2028-11-16,2028-11-23,2028-12-01,2028-12-09,29d 12h 48m
49,2028-12-15,2028-12-23,2028-12-31,2029-01-07,29d 15h 18m
50,2029-01-14,2029-01-22,2029-01-30,2029-02-05,29d 17h 07m
51,2029-02-13,2029-02-21,2029-02-28,2029-03-07,29d 17h 48m
52,2029-03-15,2029-03-23,2029-03-29,2029-04-05,29d 17h 21m
53,2029-04-13,2029-04-21,2029-04-28,2029-05-05,29d 16h 02m
54,2029-05-13,2029-05-21,2029-05-27,2029-06-03,29d 14h 08m
55,2029-06-11,2029-06-19,2029-06-25,2029-07-03,29d 12h 01m
56,2029-07-11,2029-07-18,2029-07-25,2029-08-02,29d 10h 05m
57,2029-08-09,2029-08-16,2029-08-23,2029-09-01,29d 8h 49m
58,2029-09-08,2029-09-14,2029-09-22,2029-09-30,29d 8h 30m
59,2029-10-07,2029-10-14,2029-10-22,2029-10-30,29d 9h 09m
60,2029-11-05,2029-11-12,2029-11-20,2029-11-28,29d 10h 28m
61,2029-12-05,2029-12-12,2029-12-20,2029-12-28,29d 11h 57m
62,2030-01-03,2030-01-11,2030-01-19,2030-01-26,29d 13h 18m
63,2030-02-02,2030-02-10,2030-02-18,2030-02-24,29d 14h 27m
64,2030-03-04,2030-03-12,2030-03-19,2030-03-26,29d 15h 28m
65,2030-04-02,2030-04-10,2030-04-17,2030-04-24,29d 16h 10m
66,2030-05-02,2030-05-10,2030-05-17,2030-05-24,29d 16h 09m
67,2030-06-01,2030-06-08,2030-06-15,2030-06-22,29d 15h 13m
68,2030-06-30,2030-07-08,2030-07-14,2030-07-22,29d 13h 36m
69,2030-07-30,2030-08-06,2030-08-13,2030-08-20,29d 11h 57m
70,2030-08-28,2030-09-04,2030-09-11,2030-09-19,29d 10h 47m
71,2030-09-27,2030-10-03,2030-10-11,2030-10-19,29d 10h 22m
72,2030-10-26,2030-11-02,2030-11-09,2030-11-18,29d 10h 29m
73,2030-11-25,2030-12-01,2030-12-09,2030-12-17,29d 10h 46m
74,2030-12-24,2030-12-31,2031-01-08,2031-01-16,29d 10h 59m
75,2031-01-22,2031-01-30,2031-02-07,2031-02-14,29d 11h 18m
76,2031-02-21,2031-02-28,2031-03-08,2031-03-16,29d 12h 00m
77,2031-03-22,2031-03-30,2031-04-07,2031-04-14,29d 13h 08m
78,2031-04-21,2031-04-29,2031-05-06,2031-05-13,29d 14h 20m
79,2031-05-21,2031-05-29,2031-06-05,2031-06-11,29d 15h 07m
80,2031-06-19,2031-06-27,2031-07-04,2031-07-11,29d 15h 15m
81,2031-07-19,2031-07-27,2031-08-02,2031-08-09,29d 14h 52m
82,2031-08-18,2031-08-25,2031-09-01,2031-09-08,29d 14h 15m
83,2031-09-16,2031-09-23,2031-09-30,2031-10-08,29d 13h 34m
84,2031-10-16,2031-10-23,2031-10-30,2031-11-07,29d 12h 49m
85,2031-11-14,2031-11-21,2031-11-28,2031-12-06,29d 11h 56m
86,2031-12-14,2031-12-20,2031-12-28,2032-01-05,29d 11h 01m
87,2032-01-12,2032-01-19,2032-01-27,2032-02-04,29d 10h 18m
88,2032-02-11,2032-02-17,2032-02-26,2032-03-04,29d 10h 00m
89,2032-03-11,2032-03-18,2032-03-26,2032-04-03,29d 10h 15m
90,2032-04-09,2032-04-17,2032-04-25,2032-05-02,29d 10h 56m
91,2032-05-09,2032-05-17,2032-05-24,2032-05-31,29d 11h 56m
92,2032-06-07,2032-06-15,2032-06-23,2032-06-29,29d 13h 09m
93,2032-07-07,2032-07-15,2032-07-22,2032-07-29,29d 14h 30m
94,2032-08-06,2032-08-14,2032-08-20,2032-08-27,29d 15h 45m
95,2032-09-04,2032-09-12,2032-09-19,2032-09-26,29d 16h 30m
96,2032-10-04,2032-10-11,2032-10-18,2032-10-25,29d 16h 19m
97,2032-11-03,2032-11-10,2032-11-17,2032-11-24,29d 15h 08m
98,2032-12-02,2032-12-09,2032-12-16,2032-12-24,29d 13h 24m
99,2033-01-01,2033-01-07,2033-01-15,2033-01-23,29d 11h 43m
100,2033-01-30,2033-02-06,2033-02-14,2033-02-22,29d 10h 24m
101,2033-03-01,2033-03-07,2033-03-15,2033-03-23,29d 9h 28m
102,2033-03-30,2033-04-06,2033-04-14,2033-04-22,29d 8h 55m
103,2033-04-28,2033-05-06,2033-05-14,2033-05-21,29d 8h 50m
104,2033-05-28,2033-06-04,2033-06-12,2033-06-19,29d 9h 30m
105,2033-06-26,2033-07-04,2033-07-12,2033-07-19,29d 11h 06m
106,2033-07-26,2033-08-03,2033-08-10,2033-08-17,29d 13h 27m
107,2033-08-24,2033-09-01,2033-09-08,2033-09-15,29d 16h 00m
108,2033-09-23,2033-10-01,2033-10-08,2033-10-15,29d 17h 49m
109,2033-10-23,2033-10-31,2033-11-06,2033-11-13,29d 18h 11m
110,2033-11-21,2033-11-29,2033-12-06,2033-12-13,29d 17h 07m
111,2033-12-21,2033-12-28,2034-01-04,2034-01-12,29d 15h 15m
112,2034-01-20,2034-01-27,2034-02-03,2034-02-11,29d 13h 09m
113,2034-02-18,2034-02-25,2034-03-04,2034-03-13,29d 11h 04m
114,2034-03-20,2034-03-26,2034-04-03,2034-04-11,29d 9h 11m
115,2034-04-18,2034-04-25,2034-05-03,2034-05-11,29d 7h 47m
116,2034-05-17,2034-05-24,2034-06-01,2034-06-09,29d 7h 13m
117,2034-06-16,2034-06-23,2034-07-01,2034-07-08,29d 7h 49m
118,2034-07-15,2034-07-23,2034-07-31,2034-08-07,29d 9h 38m
119,2034-08-13,2034-08-21,2034-08-29,2034-09-05,29d 12h 21m
120,2034-09-12,2034-09-20,2034-09-27,2034-10-04,29d 15h 19m
121,2034-10-12,2034-10-20,2034-10-27,2034-11-02,29d 17h 44m
122,2034-11-10,2034-11-18,2034-11-25,2034-12-02,29d 18h 58m
123,2034-12-10,2034-12-18,2034-12-25,2035-01-01,29d 18h 49m
124,2035-01-09,2035-01-16,2035-01-23,2035-01-31,29d 17h 19m
125,2035-02-08,2035-02-15,2035-02-22,2035-03-01,29d 14h 47m
126,2035-03-09,2035-03-16,2035-03-23,2035-03-31,29d 11h 48m
127,2035-04-08,2035-04-14,2035-04-22,2035-04-30,29d 9h 06m
128,2035-05-07,2035-05-14,2035-05-22,2035-05-30,29d 7h 17m
129,2035-06-05,2035-06-12,2035-06-20,2035-06-28,29d 6h 39m
130,2035-07-05,2035-07-12,2035-07-20,2035-07-27,29d 7h 12m
131,2035-08-03,2035-08-10,2035-08-18,2035-08-26,29d 8h 48m
132,2035-09-01,2035-09-09,2035-09-17,2035-09-24,29d 11h 07m
133,2035-10-01,2035-10-09,2035-10-16,2035-10-23,29d 13h 52m
134,2035-10-30,2035-11-08,2035-11-15,2035-11-22,29d 16h 39m
135,2035-11-29,2035-12-07,2035-12-14,2035-12-21,29d 18h 53m
136,2035-12-29,2036-01-06,2036-01-13,2036-01-20,29d 19h 46m
137,2036-01-28,2036-02-05,2036-02-11,2036-02-18,29d 18h 42m
138,2036-02-26,2036-03-05,2036-03-12,2036-03-19,29d 15h 57m
139,2036-03-27,2036-04-03,2036-04-10,2036-04-18,29d 12h 37m
140,2036-04-26,2036-05-03,2036-05-10,2036-05-18,29d 9h 44m
141,2036-05-25,2036-06-01,2036-06-08,2036-06-16,29d 7h 53m
142,2036-06-23,2036-06-30,2036-07-08,2036-07-16,29d 7h 08m
143,2036-07-23,2036-07-29,2036-08-06,2036-08-14,29d 7h 18m
144,2036-08-21,2036-08-28,2036-09-05,2036-09-13,29d 8h 16m
145,2036-09-19,2036-09-27,2036-10-05,2036-10-12,29d 9h 59m
146,2036-10-19,2036-10-26,2036-11-03,2036-11-10,29d 12h 24m
147,2036-11-17,2036-11-25,2036-12-03,2036-12-10,29d 15h 20m
148,2036-12-17,2036-12-25,2037-01-01,2037-01-08,29d 18h 00m
149,2037-01-16,2037-01-24,2037-01-31,2037-02-07,29d 19h 20m
150,2037-02-14,2037-02-23,2037-03-01,2037-03-08,29d 18h 42m
151,2037-03-16,2037-03-24,2037-03-31,2037-04-07,29d 16h 32m
152,2037-04-15,2037-04-22,2037-04-29,2037-05-07,29d 13h 47m
153,2037-05-15,2037-05-22,2037-05-29,2037-06-05,29d 11h 16m
154,2037-06-13,2037-06-20,2037-06-27,2037-07-05,29d 9h 22m
155,2037-07-12,2037-07-19,2037-07-27,2037-08-04,29d 8h 10m
156,2037-08-11,2037-08-17,2037-08-25,2037-09-02,29d 7h 44m
157,2037-09-09,2037-09-16,2037-09-24,2037-10-02,29d 8h 09m
158,2037-10-08,2037-10-15,2037-10-24,2037-10-31,29d 9h 29m
159,2037-11-07,2037-11-14,2037-11-22,2037-11-30,29d 11h 35m
160,2037-12-06,2037-12-14,2037-12-22,2037-12-29,29d 14h 03m
161,2038-01-05,2038-01-13,2038-01-20,2038-01-27,29d 16h 11m
162,2038-02-04,2038-02-12,2038-02-19,2038-02-26,29d 17h 23m
163,2038-03-05,2038-03-13,2038-03-20,2038-03-27,29d 17h 28m
164,2038-04-04,2038-04-12,2038-04-19,2038-04-26,29d 16h 37m
165,2038-05-04,2038-05-12,2038-05-18,2038-05-25,29d 15h 05m
166,2038-06-02,2038-06-10,2038-06-16,2038-06-24,29d 13h 08m
167,2038-07-02,2038-07-09,2038-07-16,2038-07-24,29d 11h 08m
168,2038-07-31,2038-08-07,2038-08-14,2038-08-22,29d 9h 33m
169,2038-08-30,2038-09-05,2038-09-13,2038-09-21,29d 8h 45m
170,2038-09-28,2038-10-05,2038-10-13,2038-10-21,29d 8h 55m
171,2038-10-27,2038-11-03,2038-11-11,2038-11-19,29d 9h 54m
172,2038-11-26,2038-12-03,2038-12-11,2038-12-19,29d 11h 15m
173,2038-12-25,2039-01-02,2039-01-10,2039-01-17,29d 12h 34m
174,2039-01-24,2039-01-31,2039-02-08,2039-02-15,29d 13h 41m
175,2039-02-22,2039-03-02,2039-03-10,2039-03-17,29d 14h 42m
176,2039-03-24,2039-04-01,2039-04-08,2039-04-15,29d 15h 35m
177,2039-04-23,2039-05-01,2039-05-08,2039-05-14,29d 16h 03m
178,2039-05-22,2039-05-30,2039-06-06,2039-06-13,29d 15h 43m
179,2039-06-21,2039-06-29,2039-07-05,2039-07-12,29d 14h 33m
180,2039-07-21,2039-07-28,2039-08-04,2039-08-11,29d 12h 57m
181,2039-08-19,2039-08-26,2039-09-02,2039-09-10,29d 11h 33m
182,2039-09-18,2039-09-25,2039-10-02,2039-10-10,29d 10h 46m
183,2039-10-17,2039-10-24,2039-10-31,2039-11-08,29d 10h 37m
184,2039-11-16,2039-11-22,2039-11-30,2039-12-08,29d 10h 46m
185,2039-12-15,2039-12-22,2039-12-30,2040-01-07,29d 10h 53m
186,2040-01-13,2040-01-20,2040-01-29,2040-02-05,29d 10h 59m
187,2040-02-12,2040-02-19,2040-02-27,2040-03-06,29d 11h 22m
188,2040-03-12,2040-03-20,2040-03-28,2040-04-04,29d 12h 14m
189,2040-04-11,2040-04-19,2040-04-26,2040-05-03,29d 13h 28m
190,2040-05-10,2040-05-19,2040-05-26,2040-06-01,29d 14h 35m
191,2040-06-09,2040-06-17,2040-06-24,2040-07-01,29d 15h 12m
192,2040-07-09,2040-07-17,2040-07-23,2040-07-30,29d 15h 12m
193,2040-08-07,2040-08-15,2040-08-22,2040-08-29,29d 14h 47m
194,2040-09-06,2040-09-13,2040-09-20,2040-09-28,29d 14h 12m
195,2040-10-06,2040-10-13,2040-10-20,2040-10-27,29d 13h 30m
196,2040-11-04,2040-11-11,2040-11-18,2040-11-26,29d 12h 37m
197,2040-12-04,2040-12-10,2040-12-18,2040-12-26,29d 11h 35m
198,2041-01-02,2041-01-09,2041-01-17,2041-01-25,29d 10h 35m
199,2041-02-01,2041-02-07,2041-02-15,2041-02-23,29d 9h 56m
200,2041-03-02,2041-03-09,2041-03-17,2041-03-25,29d 9h 50m
201,2041-03-31,2041-04-08,2041-04-16,2041-04-23,29d 10h 17m
202,2041-04-30,2041-05-07,2041-05-15,2041-05-22,29d 11h 10m
203,2041-05-29,2041-06-06,2041-06-14,2041-06-20,29d 12h 21m
204,2041-06-28,2041-07-06,2041-07-13,2041-07-20,29d 13h 45m
205,2041-07-27,2041-08-05,2041-08-11,2041-08-18,29d 15h 14m
206,2041-08-26,2041-09-03,2041-09-10,2041-09-17,29d 16h 25m
207,2041-09-25,2041-10-02,2041-10-09,2041-10-16,29d 16h 49m
208,2041-10-24,2041-11-01,2041-11-07,2041-11-15,29d 16h 06m
209,2041-11-23,2041-11-30,2041-12-07,2041-12-15,29d 14h 30m
210,2041-12-23,2041-12-29,2042-01-06,2042-01-14,29d 12h 36m
211,2042-01-21,2042-01-28,2042-02-04,2042-02-13,29d 10h 57m
212,2042-02-20,2042-02-26,2042-03-06,2042-03-14,29d 9h 44m
213,2042-03-21,2042-03-28,2042-04-05,2042-04-13,29d 8h 56m
214,2042-04-19,2042-04-26,2042-05-05,2042-05-12,29d 8h 36m
215,2042-05-19,2042-05-26,2042-06-03,2042-06-10,29d 8h 53m
216,2042-06-17,2042-06-25,2042-07-03,2042-07-10,29d 10h 04m
217,2042-07-17,2042-07-25,2042-08-01,2042-08-08,29d 12h 10m
218,2042-08-15,2042-08-23,2042-08-30,2042-09-06,29d 14h 49m
219,2042-09-14,2042-09-22,2042-09-29,2042-10-05,29d 17h 13m
220,2042-10-13,2042-10-21,2042-10-28,2042-11-04,29d 18h 25m
221,2042-11-12,2042-11-20,2042-11-27,2042-12-04,29d 18h 01m
222,2042-12-12,2042-12-19,2042-12-26,2043-01-03,29d 16h 24m
223,2043-01-11,2043-01-18,2043-01-25,2043-02-01,29d 14h 15m
224,2043-02-09,2043-02-16,2043-02-23,2043-03-03,29d 12h 02m
225,2043-03-11,2043-03-17,2043-03-25,2043-04-02,29d 9h 57m
226,2043-04-09,2043-04-16,2043-04-24,2043-05-02,29d 8h 15m
227,2043-05-08,2043-05-15,2043-05-23,2043-05-31,29d 7h 14m
228,2043-06-07,2043-06-14,2043-06-22,2043-06-29,29d 7h 16m
229,2043-07-06,2043-07-13,2043-07-21,2043-07-29,29d 8h 32m
230,2043-08-04,2043-08-12,2043-08-20,2043-08-27,29d 10h 55m
231,2043-09-03,2043-09-11,2043-09-18,2043-09-25,29d 13h 55m
232,2043-10-02,2043-10-11,2043-10-18,2043-10-24,29d 16h 45m
233,2043-11-01,2043-11-09,2043-11-16,2043-11-23,29d 18h 40m
234,2043-12-01,2043-12-09,2043-12-16,2043-12-23,29d 19h 11m
235,2043-12-31,2044-01-07,2044-01-14,2044-01-21,29d 18h 16m
236,2044-01-29,2044-02-06,2044-02-13,2044-02-20,29d 16h 08m
237,2044-02-28,2044-03-06,2044-03-13,2044-03-21,29d 13h 14m
238,2044-03-29,2044-04-04,2044-04-12,2044-04-20,29d 10h 16m
239,2044-04-27,2044-05-04,2044-05-11,2044-05-20,29d 7h 57m
240,2044-05-26,2044-06-02,2044-06-10,2044-06-18,29d 6h 45m
241,2044-06-25,2044-07-02,2044-07-10,2044-07-17,29d 6h 46m
242,2044-07-24,2044-07-31,2044-08-08,2044-08-16,29d 7h 55m
243,2044-08-22,2044-08-30,2044-09-07,2044-09-14,29d 9h 58m
244,2044-09-21,2044-09-28,2044-10-06,2044-10-13,29d 12h 33m
245,2044-10-20,2044-10-28,2044-11-05,2044-11-12,29d 15h 21m
246,2044-11-19,2044-11-27,2044-12-04,2044-12-11,29d 17h 55m
247,2044-12-19,2044-12-27,2045-01-03,2045-01-09,29d 19h 32m
248,2045-01-17,2045-01-26,2045-02-01,2045-02-08,29d 19h 26m
249,2045-02-16,2045-02-24,2045-03-03,2045-03-10,29d 17h 24m
250,2045-03-18,2045-03-25,2045-04-01,2045-04-09,29d 14h 12m
251,2045-04-17,2045-04-24,2045-05-01,2045-05-08,29d 11h 00m
252,2045-05-16,2045-05-23,2045-05-30,2045-06-07,29d 8h 38m
253,2045-06-14,2045-06-21,2045-06-29,2045-07-07,29d 7h 24m
254,2045-07-14,2045-07-20,2045-07-28,2045-08-05,29d 7h 11m
255,2045-08-12,2045-08-19,2045-08-27,2045-09-04,29d 7h 48m
256,2045-09-10,2045-09-17,2045-09-26,2045-10-03,29d 9h 09m
257,2045-10-10,2045-10-17,2045-10-25,2045-11-01,29d 11h 12m
258,2045-11-08,2045-11-16,2045-11-24,2045-12-01,29d 13h 52m
259,2045-12-08,2045-12-16,2045-12-23,2045-12-30,29d 16h 43m